depth,thickness
605.06,3.16
609.12,4.06
612.73,3.61
617.25,4.52
623.12,5.87
626.28,3.16
630.34,4.06
639.82,9.48
643.44,3.61
647.95,4.52
651.11,3.16
656.08,4.97
680.91,24.83
685.43,4.52
693.56,8.13
699.43,5.87
705.30,5.87
711.62,6.32
717.94,6.32
720.65,2.71
726.07,5.42
729.23,3.16
731.94,2.71
735.10,3.16
740.52,5.42
743.23,2.71
745.93,2.71
749.10,3.16
754.97,5.87
759.93,4.97
763.54,3.61
777.54,14.00
780.25,2.71
784.31,4.06
787.02,2.71
798.76,11.74
808.70,9.93
815.02,6.32
822.70,7.68
831.73,9.03
835.34,3.61
838.50,3.16
842.11,3.61
846.63,4.52
849.34,2.71
852.50,3.16
856.56,4.06
861.08,4.52
863.33,2.26
866.04,2.71
872.36,6.32
876.88,4.52
888.17,11.29
894.49,6.32
900.36,5.87
909.39,9.03
914.36,4.97
920.68,6.32
924.74,4.06
928.81,4.06
933.32,4.52
936.93,3.61
941.90,4.97
947.77,5.87
955.45,7.68
962.22,6.77
966.73,4.52
972.15,5.42
983.44,11.29
988.41,4.97
998.79,10.39
1002.41,3.61
1009.18,6.77
1019.56,10.39
1026.34,6.77
1031.30,4.97
1038.98,7.68
1044.85,5.87
1059.30,14.45
1066.98,7.68
1070.14,3.16
1090.91,20.77
1097.23,6.32
1101.29,4.06
1105.36,4.06
1110.32,4.97
1113.03,2.71
1120.71,7.68
1127.93,7.22
1133.80,5.87
1136.96,3.16
1141.03,4.06
1148.25,7.22
1155.02,6.77
1157.73,2.71
1162.25,4.52
1173.99,11.74
1180.31,6.32
1187.53,7.22
1191.15,3.61
1196.11,4.97
1203.34,7.22
1207.40,4.06
1213.72,6.32
1221.40,7.68
1228.17,6.77
1237.66,9.48
1248.49,10.84
1254.81,6.32
1261.13,6.32
1272.42,11.29
1280.55,8.13
1286.42,5.87
1295.00,8.58
1303.22,8.22
1308.69,5.48
1315.54,6.85
1323.76,8.22
1327.87,4.11
1336.54,8.67
1342.02,5.48
1349.32,7.30
1354.80,5.48
1379.91,25.11
1382.65,2.74
1386.76,4.11
1399.99,13.24
1409.12,9.13
1413.69,4.56
1422.36,8.67
1427.38,5.02
1433.78,6.39
1439.25,5.48
1447.01,7.76
1455.23,8.22
1463.90,8.67
1479.42,15.52
1491.75,12.33
1501.30,9.55
1509.10,7.8
1516.86,7.76
1521.88,5.02
1527.81,5.93
1533.75,5.93
1541.05,7.30
1546.99,5.93
1554.29,7.30
1560.22,5.93
1565.25,5.02
1567.07,1.83
1571.64,4.56
1575.29,3.65
1579.85,4.56
1585.33,5.48
1590.81,5.48
1597.20,6.39
1604.96,7.76
1612.72,7.76
1620.03,7.30
1625.05,5.02
1632.81,7.76
1642.39,9.59
1647.87,5.48
1651.52,3.65
1656.55,5.02
1659.74,3.20
1669.33,9.59
1676.18,6.85
1687.13,10.96
1699.00,11.87
1702.63,3.63
1707.16,4.53
1715.77,8.61
1721.21,5.44
1727.10,5.89
1740.70,13.60
1745.69,4.99
1751.58,5.89
1757.02,5.44
1763.36,6.35
1767.44,4.08
1771.98,4.53
1780.13,8.16
1786.03,5.89
1794.18,8.16
1805.06,10.88
1811.41,6.35
1815.94,4.53
1822.74,6.80
1829.09,6.35
1838.60,9.52
1842.68,4.08
1850.39,7.71
1860.81,10.43
1865.80,4.99
1873.96,8.16
1879.40,5.44
1886.20,6.80
1891.18,4.99
1896.17,4.99
1902.51,6.35
1909.77,7.25
1914.75,4.99
1920.19,5.44
1926.54,6.35
1932.43,5.89
1937.42,4.99
1942.85,5.44
1950.11,7.25
1958.27,8.16
1962.80,4.53
1969.14,6.35
1974.58,5.44
1984.10,9.52
1993.62,9.52
2000.87,7.25
2004.95,4.08
2011.30,6.35
2016.28,4.99
2019.46,3.17
2023.54,4.08
2028.07,4.53
2039.85,11.78
2044.39,4.53
2052.09,7.71
2058.89,6.80
2064.78,5.89
2071.58,6.80
2077.47,5.89
2082.46,4.99
2086.99,4.53
2091.07,4.08
2098.32,7.25
2108.30,9.97
2119.63,11.33
2126.43,6.80
2134.13,7.71
2140.02,5.89
2151.81,11.78
2159.97,8.16
2166.31,6.35
2173.56,7.25
2185.35,11.78
2198.04,12.69
2203.03,4.99
2208.01,4.99
2215.26,7.25
2222.06,6.80
2227.96,5.89
2234.76,6.80
2244.73,9.97
2257.42,12.69
2263.31,5.89
2268.40,5.09
2296.40,28.00
2301.38,4.99
2306.37,4.99
2310.00,3.63
2314.53,4.53
2320.87,6.35
2325.41,4.53
2330.85,5.44
2335.38,4.53
2340.37,4.99
2343.08,2.72
2348.98,5.89
2355.32,6.35
2361.67,6.35
2368.92,7.25
2374.81,5.89
2383.43,8.61
2391.13,7.71
2395.66,4.53
2401.56,5.89
2406.54,4.99
2410.62,4.08
2415.61,4.99
2423.77,8.16
2440.54,16.77
2449.60,9.07
2455.49,5.89
2460.03,4.53
2465.47,5.44
2477.25,11.78
2486.32,9.07
2491.30,4.99
2499.01,7.71
2503.99,4.99
2513.51,9.52
2518.50,4.99
2523.03,4.53
2529.38,6.35
2536.17,6.80
2541.16,4.99
2546.60,5.44
2553.40,6.80
2558.38,4.99
2563.37,4.99
2571.53,8.16
2584.67,13.14
2592.38,7.71
2597.82,5.44
2605.07,7.25
2608.70,3.63
2613.23,4.53
2617.31,4.08
2625.47,8.16
2631.36,5.89
2637.70,6.35
2645.86,8.16
2650.85,4.99
2664.45,13.60
2699.45,35.00
2702.97,3.53
2706.15,3.17
2708.41,2.27
2710.68,2.27
2712.49,1.81
2714.31,1.81
