depth ,thickness
626.25,5.11
632.63,6.38
639.32,6.68
647.13,7.81
651.56,4.43
656.59,5.03
665.45,8.86
670.94,5.48
676.12,5.18
681.15,5.03
687.61,6.46
785.70,98.09
791.71,6.01
796.14,4.43
797.79,1.65
799.74,1.95
801.47,1.73
803.35,1.88
806.28,2.93
809.51,3.23
813.71,4.21
817.32,3.61
821.07,3.76
823.93,2.85
828.89,4.96
834.67,5.78
840.30,5.63
843.00,2.70
846.31,3.30
849.24,2.93
857.88,8.64
897.31,39.43
900.61,3.30
904.37,3.76
908.35,3.98
923.52,15.17
939.14,15.62
947.63,8.49
958.97,11.34
975.04,16.07
979.77,4.73
984.06,4.28
988.56,4.51
994.65,6.08
997.35,2.70
1000.50,3.15
1005.46,4.96
1011.69,6.23
1014.10,2.40
1021.01,6.91
1025.42,4.41
1029.83,4.41
1037.76,7.94
1045.70,7.94
1068.19,22.49
1077.45,9.26
1088.03,10.58
1098.61,10.58
1107.43,8.82
1119.78,12.35
1129.28,9.50
1133.01,3.73
1135.72,2.71
1139.78,4.07
1146.11,6.32
1153.34,7.23
1156.95,3.61
1164.63,7.68
1172.76,8.13
1179.08,6.32
1191.73,12.65
1208.00,16.26
1231.04,23.04
1234.65,3.61
1240.97,6.32
1252.27,11.29
1256.33,4.07
1261.30,4.97
1266.72,5.42
1270.79,4.07
1273.95,3.16
1282.08,8.13
1295.18,13.10
1303.76,8.58
1323.64,19.88
1336.29,12.65
1369.72,33.43
1381.46,11.75
1385.98,4.52
1389.59,3.61
1394.11,4.52
1399.53,5.42
1412.63,13.10
1420.76,8.13
1426.63,5.87
1430.70,4.07
1437.93,7.23
1450.58,12.65
1459.61,9.03
1470.45,10.84
1488.52,18.07
1495.30,6.78
1502.53,7.23
1506.59,4.07
1513.82,7.23
1530.53,16.71
1535.95,5.42
1546.80,10.84
1558.54,11.75
1568.03,9.49
1579.77,11.75
1588.36,8.58
1597.39,9.03
1610.49,13.10
1645.49,35.00
1651.60,6.11
1657.47,5.87
1665.15,7.68
1674.18,9.03
1682.77,8.58
1691.80,9.03
1696.77,4.97
1699.93,3.16
1705.81,5.87
1710.77,4.97
1723.42,12.65
1732.46,9.03
1741.49,9.03
1748.72,7.23
1819.73,71.01
1822.80,3.07
1828.22,5.42
1837.25,9.03
1841.77,4.52
1847.64,5.87
1854.42,6.78
1861.65,7.23
1868.87,7.23
1878.36,9.49
1886.94,8.58
1901.85,14.91
1956.85,55.00
1971.42,14.57
1982.26,10.84
1995.36,13.10
2001.68,6.32
2005.75,4.07
2011.62,5.87
2014.78,3.16
2018.85,4.07
2024.27,5.42
2036.47,12.20
2048.21,11.75
2053.63,5.42
2059.05,5.42
2061.76,2.71
2068.09,6.32
2071.70,3.61
2077.12,5.42
2083.45,6.32
2090.22,6.78
2099.71,9.49
2113.26,13.55
2123.20,9.94
2134.94,11.75
2141.72,6.78
2152.56,10.84
2162.95,10.39
2168.82,5.87
2174.24,5.42
2180.12,5.87
2186.89,6.78
2195.02,8.13
2203.61,8.58
2220.78,17.17
2233.87,13.10
2239.29,5.42
2245.62,6.32
2257.36,11.75
2263.69,6.32
2270.46,6.78
2299.37,30.00
2305.70,5.24
2312.02,6.32
2318.35,6.32
2326.93,8.58
2332.35,5.42
2337.77,5.42
2347.71,9.94
2354.94,7.23
2368.49,13.55
2382.95,14.46
2394.24,11.29
2401.01,6.78
2409.15,8.13
2420.44,11.29
2432.18,11.75
2437.15,4.97
2446.64,9.49
2462.00,15.36
2466.06,4.06
2473.24,7.18
2484.51,11.27
2490.67,6.16
2501.53,10.86
2509.31,7.78
2517.36,8.04
2526.41,9.06
2538.74,12.33
2545.43,6.69
2552.16,6.73
2558.88,6.73
2567.68,8.79
2572.49,4.81
2579.67,7.18
2592.41,12.74
2609.39,16.99
2616.27,6.88
2622.36,6.09
2632.05,9.70
2646.00,13.94
2653.06,7.07
2661.70,8.64
2676.55,14.84
2682.83,6.28
2693.24,10.41
2701.84,8.61
2708.15,6.31
2715.78,7.63
2727.62,11.84
2746.00,18.38
2751.76,5.76
2762.72,10.96
2768.60,5.88
2773.34,4.75
2777.94,4.59
2780.35,2.41
2782.61,2.26
2784.11,1.51
2788.93,4.82
2797.82,8.89
2809.87,12.05
2819.82,9.94
2824.94,5.12
2831.72,6.78
2836.46,4.75
2842.42,5.95
2847.76,5.35
3386.87,9.87
3390.46,3.59
3394.50,4.04
3397.64,3.14
3408.14,10.50
3416.49,8.35
3421.88,5.39
3463.62,41.74
3468.11,4.49
3474.83,6.73
3481.57,6.73
3487.40,5.83
3499.97,12.57
3512.53,12.57
3523.75,11.22
3533.18,9.42
3544.40,11.22
3550.68,6.28
3557.86,7.18
3563.25,5.39
3567.73,4.49
3591.07,23.34
3602.29,11.22
3608.13,5.83
3616.20,8.08
3620.24,4.04
3624.28,4.04
3630.12,5.83
3641.34,11.22
3648.07,6.73
3654.35,6.28
3662.43,8.08
3667.81,5.39
3681.73,13.91
3747.25,65.52
3750.84,3.59
3753.08,2.24
3754.43,1.35
3755.78,1.35
3758.47,2.69
3761.16,2.69
3763.85,2.69
3766.10,2.24
3769.24,3.14
3774.18,4.94
3779.56,5.39
3787.64,8.08
3794.37,6.73
3798.41,4.04
3803.80,5.39
3806.49,2.69
3812.77,6.28
3819.50,6.73
3841.15,21.64
3847.33,6.18
3853.61,6.28
3859.45,5.83
3864.73,5.28
3878.40,13.67
3880.09,1.69
3886.82,6.73
3890.86,4.04
3897.15,6.28
3900.29,3.14
3905.67,5.39
3910.16,4.49
3913.30,3.14
3915.10,1.80
3918.24,3.14
3922.28,4.04
3928.12,5.84
3944.62,16.50
3948.56,3.94
3955.49,4.94
3960.42,4.94
3965.36,4.94
3969.40,4.04
3974.79,5.39
3978.82,4.04
3981.52,2.69
3984.66,3.14
3987.35,2.69
3993.19,5.83
4003.06,9.87
4007.55,4.49
4021.46,13.91
4032.68,11.22
4036.72,4.04
4040.31,3.59
4043.90,3.59
4050.18,6.28
4062.75,12.57
4069.48,6.73
4074.87,5.39
4079.80,4.94
4082.49,2.69
4085.19,2.69
4087.88,2.69
4091.47,3.59
4118.05,26.58
4119.74,1.69
4122.89,3.14
4126.03,3.14
4129.17,3.14
4136.80,7.63
4140.39,3.59
4145.33,4.94
4149.36,4.04
4152.51,3.14
4156.10,3.59
4160.58,4.49
4163.73,3.14
4167.32,3.59
4170.91,3.59
4175.84,4.94
4178.98,3.14
4188.86,9.87
4193.79,4.94
4199.63,5.83
4202.32,2.69
4204.12,1.80
4208.16,4.04
4210.40,2.24
4214.44,4.04
4220.27,5.83
4222.97,2.69
4231.94,8.98
4235.53,3.59
4238.22,2.69
4243.16,4.94
4247.20,4.04
4252.14,4.94
4257.07,4.94
4262.01,4.94
4269.64,7.63
4273.68,4.04
4277.27,3.59
4279.51,2.24
4283.55,4.04
4286.69,3.14
4291.63,4.94
4297.46,5.83
4303.75,6.28
4309.58,5.83
4316.76,7.18
4327.08,10.32
4337.41,10.32
4341.89,4.49
4346.83,4.94
4353.11,6.28
4357.60,4.49
4362.09,4.49
4373.76,11.67
4377.80,4.04
