"","location03_methodI_0_95"
"mu","1.57874358829289"
"sigma","0.491404395574293"
"nFit","2128"
"R2","0.964725572427358"
"limit.Left","0.546708829333097"
"limit.Right","24.8104352145062"
"method","Method I"
"distribution","lognormal"
"iRight.1","2203"
"iRight.2","2204"
"iRight.3","2205"
"iRight.4","2206"
"iRight.5","2207"
"iRight.6","2208"
"iRight.7","2209"
"iRight.8","2210"
"iRight.9","2211"
"iRight.10","2212"
"iRight.11","2213"
"iRight.12","2214"
"iRight.13","2215"
"iRight.14","2216"
"iRight.15","2217"
"iRight.16","2218"
"iRight.17","2219"
"iRight.18","2220"
"iRight.19","2221"
"iRight.20","2222"
"iRight.21","2223"
"iRight.22","2224"
"iRight.23","2225"
"iRight.24","2226"
"iRight.25","2227"
"iRight.26","2228"
"iRight.27","2229"
"iRight.28","2230"
"iRight.29","2231"
"iRight.30","2232"
"iRight.31","2233"
"iRight.32","2234"
"iRight.33","2235"
"iRight.34","2236"
"iRight.35","2237"
"iRight.36","2238"
"iRight.37","2239"
"nOut.Left","0"
"nOut.Right","37"
"yMin","0.96"
"yMax","13.56"
"rho.Left","0.01"
"rho.Right","1"
"Fmin","0"
"Fmax","0.95"
