Turbidite,Dx (10)_Lc2,Dx (50)_Lc2,Dx (80)_Lc2,Dx (90)_Lc2,Dx (99)_Lc2,Mean_Lc2,Sorting_Lc2,Thickness_Lc2,RBD80_Lc2,MS1_Lc2,RABA_Lc2,nRABA_Lc2,MS1_Min_Lc2,RABA_Min_Lc2,nRABA_Min_Lc2,MS1_Max_Lc2,RABA_Max_Lc2,nRABA_Max_Lc2,Dx (10)_Lc3,Dx (50)_Lc3,Dx (80)_Lc3,Dx (90)_Lc3,Dx (99)_Lc3,Mean_Lc3,Sorting_Lc3,Thickness_Lc3,RBD80_Lc3,MS1_Lc3,RABA_Lc3,nRABA_Lc3,MS1_Min_Lc3,RABA_Min_Lc3,nRABA_Min_Lc3,MS1_Max_Lc3,RABA_Max_Lc3,nRABA_Max_Lc3,Dx (10)_Lc4,Dx (50)_Lc4,Dx (80)_Lc4,Dx (90)_Lc4,Dx (99)_Lc4,Mean_Lc4,Sorting_Lc4,Thickness_Lc4,RBD80_Lc4,MS1_Lc4,RABA_Lc4,nRABA_Lc4,MS1_Min_Lc4,RABA_Min_Lc4,nRABA_Min_Lc4,MS1_Max_Lc4,RABA_Max_Lc4,nRABA_Max_Lc4,Dx (10)_Lc20,Dx (50)_Lc20,Dx (80)_Lc20,Dx (90)_Lc20,Dx (99)_Lc20,Mean_Lc20,Sorting_Lc20,Thickness_Lc20,RBD80_Lc20,Dx (10)_Lc21,Dx (50)_Lc21,Dx (80)_Lc21,Dx (90)_Lc21,Dx (99)_Lc21,Mean_Lc21,Sorting_Lc21,Thickness_Lc21,RBD80_Lc21,"StdevThickness_Lc(2,3,4)","StdevD80_Lc(2,3,4)","StdevD10_Lc (2,3,4)","StdevSorting_Lc(2,3,4)","StdevThickness_Lc(2,3,4,20,21)","StdevD80_Lc(2,3,4,20,21)","StdevD10_Lc(2,3,4,20,21)","StdevSorting_Lc(2,3,4,20,21)"
1995,3.733,17.2,34.8,48.3,97.2,15.506,2.677,32,1.088,-0.574,-0.257,1.154,-2.964,0.532,0.645,1.054,0.569,1.727,2.378,9.15,18.6,25.9,60,8.562,2.526,41,0.454,0.653,-0.565,-0.037,1.351,-0.518,0.068,5.497,-0.838,-0.194,1.165,6.07,15,24.4,48.7,6.108,3.119,33,0.455,0.948,0.516,0.554,1.172,-0.164,0.291,8.935,1.204,0.768,6.09,21.8,39.6,52.5,94,20.374,2.358,41,0.966,6.36,25.2,43.5,56.1,93.1,23.05,2.346,28,1.554,13.961,46.259,52.968,15.078,16.537,42.135,57.609,15.343
1989,0.561,4.03,7.49,10.3,22,2.561,2.539,9.5,0.788,1.376,-0.86,0.152,1.008,0.467,0.108,1.977,-0.828,0.105,1.992,6.34,12.4,17,30.8,6.117,2.317,23,0.539,-2.18,0.163,-0.12,3.12,0.612,0.257,-3.536,-0.193,-0.43,3.09,8,17.5,24.3,44.7,11.116,2.366,19,0.921,-1.788,0.671,0.394,2.355,1.051,0.496,-2.069,0.221,0.358,2.79,11.7,22.9,30.6,53.5,10.83,2.597,19,1.205,2.19,8.27,17.8,24.9,46.4,7.862,2.568,17,1.047,40.393,40.16,67.419,7.164,28.428,37.574,46.125,5.264
1964,1.702,5.54,58.2,89.6,172,9.651,3.964,13,4.477,0.233,-0.639,0.077,-1.073,0.03,0.145,2.759,-0.709,-0.12,2.853,48.8,110,151,349,31.52,4.665,32,3.438,2.091,-0.36,-0.189,0.232,0.009,0.127,9.355,-0.686,-0.425,8.253,41.7,67.6,86.1,143,39.338,2.583,47,1.438,2.221,-0.038,0.142,-0.134,-0.568,0.26,5.916,0.524,-0.17,46.7,105,159,193,272,101.348,1.812,53,3,25.6,57.4,90.7,112,173,56.114,1.808,32,2.834,55.563,35.11,81.924,29.662,43.972,41.267,112.498,42.29
E1,2.75,9.64,21.4,31.5,69.2,9.498,2.559,23.83,0.898,0.368,0.668,0.224,-1.232,0.951,-0.044,1.328,0.995,0.392,7.88,48.9,94.3,131,295,43.143,2.869,98.09,0.961,2.422,1.514,1.129,-3.376,0.363,-0.137,1.15,2.919,2.727,4.94,22.6,40.4,52,83.8,19.857,2.471,47.81,0.845,-0.379,0.122,-0.118,-1.787,-0.077,-0.177,-1.096,-0.01,0.255,5.06,28.7,54.1,71.1,121,24.31,2.753,48,1.127,7.68,35.9,62.7,79.9,123,31.55,2.472,38.68,1.621,67.505,72.678,49.598,7.937,55.063,49.721,37.834,6.797
E2,2.53,6.02,10.8,14.6,30.7,6.031,1.972,9,1.2,0.37,0.91,0.095,0.722,1,0.108,-0.796,1.055,0.062,4.27,34,77.6,106,185,27.215,3.433,34,2.282,0.308,0.875,1.073,2.252,0.057,-0.114,-2.923,1.42,1.845,5.16,21.5,38.1,49.1,78.3,19.273,2.384,21,1.814,-0.161,-0.119,-0.162,0.789,-0.131,-0.162,-1.107,-0.382,-0.655,3.85,20.8,41,55.4,123,17.844,2.786,29.66,1.382,6.42,31.1,55,70.5,109,27.086,2.5,22.18,2.48,58.609,79.649,33.554,29.02,41.281,54.985,32.718,20.762
E3,1.98,5.89,11.6,15.7,28,5.724,2.231,10,1.16,-0.949,-0.186,-0.032,-2.289,0.23,0.061,-0.825,-0.389,-0.196,2.8,10.9,20.5,27.3,50.5,9.943,2.389,11.942,1.717,-0.504,-0.868,-0.453,1.16,-0.604,-0.168,-2.943,-0.868,-0.814,4.81,20.3,36.3,46.8,75.9,18.123,2.405,9.39,3.866,0.117,-0.285,-0.108,2.725,0.038,0.117,-4.109,-0.438,-0.627,6.61,28.8,49.4,62.8,98.8,25.688,2.388,20,2.47,2.9,23.4,46.2,60.6,96.7,17.56,3.182,31,1.49,14.504,54.867,45.551,4.109,56.398,49.82,49.039,14.976
E4,2.29,5.93,10.9,14.8,29.1,5.871,2.055,8.5,1.282,-0.658,0.226,0.02,-0.294,0.575,0.046,-2.839,-0.026,-0.012,3.23,11.4,22.8,32.5,83.2,10.917,2.443,13.62,1.674,1.654,-0.316,-0.36,3.123,0.019,-0.19,-0.952,-0.701,-0.627,3.67,15.8,32.1,43.3,75.1,14.339,2.59,24,1.338,1.715,-0.546,0.05,1.678,-0.204,-0.14,-1.11,-0.847,0.218,11.1,36.1,59.2,74,110,33.466,2.136,19,3.116,11.5,42.1,68.7,85.2,125,38.629,2.215,18,3.817,50.141,48.449,23.012,11.694,34.473,63.09,71.423,9.72
E6_1,2.28,6.27,11.6,15.6,27.3,6.116,2.097,10.29,1.127,3.777,-0.333,-0.134,1.668,-0.052,-0.201,5.06,-0.671,-0.13,3.2,10.9,20.2,26.7,45.4,10.208,2.262,19.49,1.036,0.587,0.517,-0.213,1.847,0.912,0.14,4.981,0.176,-0.505,3.93,16.4,30,39,63.6,14.615,2.416,14,2.143,0.118,-0.096,-0.024,2.373,-0.027,0.061,-3.121,-0.077,-0.306,6.29,27.2,46.6,58.9,91.5,24.114,2.372,38,1.226,5.32,32.2,57.1,72.5,109,26.173,2.702,30.5,1.872,87.995,44.692,26.36,7.058,57.655,56.45,38.321,9.398
E6_3,2.17,5.69,10.5,14.1,25.7,5.605,2.065,7,1.5,0.697,-0.04,-0.002,-0.377,0.16,-0.058,0.938,-0.42,-0.181,2.33,8.02,15.6,20.8,35.7,7.507,2.325,19,0.821,,,,,,,,,,3.78,15.2,29.4,39,66.1,13.867,2.459,16.45,1.787,-0.694,0.345,-0.115,-1.938,0.639,-0.053,-0.133,0.176,-0.333,3.92,19.9,37.6,49.1,80.5,17.074,2.629,12.22,3.077,5.25,26.8,47.4,60.7,94.3,23.066,2.538,18.5,2.562,44.854,52.854,32.136,8.78,33.591,54.276,36.398,9.137
E6_2,1.88,4.31,7.72,10.5,22.8,4.347,1.955,4.06,1.901,,,,,,,,,,3.56,13.8,33.2,70.8,309,14.316,3.128,9.5,3.495,,,,,,,,,,12.1,35.5,58.8,74.6,119,33.813,2.23,26,2.262,-0.439,-1.046,0.035,-1.783,-0.519,-0.072,-2.127,-1.392,0.15,13.3,51.1,87,111,173,47.545,2.454,13.43,6.478,10.4,59.5,102,132,228,53.602,2.65,9.5,10.737,71.276,76.835,93.734,25.165,56.697,66.625,62.859,17.866
E7_1,1.5,3.77,6.7,9.08,27.5,3.756,2.061,7.676,0.873,,,,,,,,,,1.91,4.75,9.07,13.2,37.9,4.83,2.134,13.1,0.692,-6.967,-0.656,0.392,-3.594,-0.183,0.688,-10.145,-0.935,0.378,1.81,5.59,14.2,20.9,40.2,5.897,2.587,20.5,0.693,-1.623,0.317,-0.131,-1.069,0.75,0.05,-2.139,-0.133,-0.36,2.45,10.9,23.1,31.2,54.8,9.762,2.673,14.77,1.564,2.61,13.4,28.9,38.9,66.6,11.548,2.831,18.5,1.562,46.787,38.375,12.286,12.604,33.496,57.367,22.462,13.873
E7_2,1.96,4.45,7.93,10.8,24.5,4.49,1.947,13.45,0.59,1.468,-0.252,-0.097,0.588,-0.015,-0.132,1.843,-0.269,-0.147,2.19,5.75,11.9,17.8,43.4,5.924,2.25,19.88,0.599,-4.851,-0.259,-0.571,-4.632,0.234,-0.075,-6.157,-0.68,-1.057,3.45,11.8,20.4,26.2,42.8,10.962,2.189,19,1.074,-1.464,0.686,-0.13,-1.107,0.953,0.041,-2.141,0.347,-0.227,2.27,6.52,12.8,18,37.1,6.461,2.229,24.536,0.522,2.64,7.92,16.1,22.8,45.5,7.857,2.296,16.604,0.97,19.986,47.507,31.664,7.514,21.974,33.908,23.328,6.267
E8,2.55,7.47,14,18.6,32,7.22,2.15,19.27,0.727,2.011,-0.046,-0.013,-0.425,0.182,-0.062,5.808,-0.385,0.135,3.1,10.5,19.3,25.3,42.8,9.79,2.238,31.43,0.614,-4.196,0.183,-0.545,-5.694,0.107,-0.147,2.823,0.041,-1.265,5.31,24.2,43,55.2,85.1,21.211,2.46,50.427,0.853,4.124,-0.242,0.176,0.822,-0.293,0.173,9.855,0.042,0.143,6.66,29.3,51,64.9,98.8,25.957,2.402,51.59,0.989,4.24,25,43.6,55.3,84.3,20.151,2.643,62,0.703,46.584,60.717,39.986,7.001,40.113,48.031,38.051,8.109
E10,2.36,5.82,11,15.5,35,5.885,2.068,10.79,1.019,-0.876,0.17,-0.128,-1.513,0.176,-0.05,-1.429,0.148,-0.308,6.63,41.3,80.4,108,198,34.857,2.891,32,2.513,-2.154,0.737,0.252,-2.093,-0.285,-0.003,-4.322,1.501,0.973,4.11,16.8,32.1,43.1,76,15.248,2.473,23.178,1.385,-0.585,-0.322,-0.644,-1.509,-0.246,-0.169,-0.163,-0.45,-1.289,4.09,20.9,40.3,53.3,89.7,17.933,2.679,15.82,2.547,5.05,20.6,37.9,49.7,83.5,18.59,2.421,12,3.158,48.455,86.423,49.157,16.601,47.135,62.461,35.056,12.261
